epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4801.15,1.28123,1.25713,1.26425,0.94649,0.87024,0.93429,0.56268,1.38364,0.81216,1.30855,0.000666163,0.000666163,0.000666163
2,16743.7,1.24763,0.75964,1.24863,0.92246,0.89757,0.94199,0.59105,1.33189,0.67402,1.27888,0.000892996,0.000892996,0.000892996
3,21336.6,1.17736,0.6473,1.20654,0.97212,0.93126,0.96736,0.65385,1.18423,0.54825,1.19953,0.000679829,0.000679829,0.000679829
